Name,Category,HD,+/-,Num,Spd,Alt Spd,Atk,Def,Description,T1,T2,T3,Tags
Acolyte,Sniper,1,,d8,30,,STR,DEX,"Dressed in rusty-red robes, with black cowls. Under these robes each wears chain mail and a mace at his belt.",,,,"basic-set, humanoid"
Adept,Sniper,2,,d8,30,,WIS,DEX,"Clad in a black robe with a maroon coloured cowl, plate moil beneath their garments","Cause Light Wounds
Level 1 Spell
Touch
1d10 Damage","Cause Fear
Level 1 Spell
Touch
Wisdom save each turn or flee in terror",,"basic-set, humanoid"
"Ant, Giant",Soldier,4,,2d4,60,60,STR,DEX,"Giant ants are among the hardiest and most adaptable vermin. Soldiers and workers are about 5 to 6 feet long, while queens can grow to a length of 9 feet.
Giant ants may be red or black; there is no statistical difference between them.
Though relatively shy when first encountered, once combat begins they will fight to the death.
They are known to collect shiny things, and so will sometimes have a small amount of treasure in their lair. Giant ants may occasionally mine shiny metals such as gold or silver.",,,,"basic-fantasy, beast"
"Ape, Carnivorous",Brute,4,,2d4,30,,STR,STR,"These powerful creatures resemble gorillas but are far more aggressive; though they are actually omnivores, they prefer meat, and they kill and eat anything they can catch.
An adult male carnivorous ape is 5-1/2 to 6 feet tall and weighs 300 to 400 pounds.",,,,"basic-fantasy, beast"
"Ape, White",Brute,4,,d6,30,,STR,STR,"White apes have lost their colour due to many years of living in caves. They are nocturnal, sleeping in the day and looking for fruits and vegetables at night. If creatures approach their lair, the apes will threaten them. If their threats are ignored, they will attack.
They may throw one stone per round for d6 points.
White apes are not intelligent and sometimes are kept as pets by Neanderthals.",,,,"basic-set, beast"
Assassin Vine,Predator,6,,d4+1,5,,STR,STR,"The assassin vine is a semi-mobile plant found intemperate forests that collects its own grisly fertilizer by grabbing and crushing animals and depositing thecarcasses near its roots.
A mature plant consists of a main vine, about 20 feet long.Smaller vines up to 5 feet long branch off from the mainvine about every 6 inches. These small vines bear clusters of leaves, and in late summer they produce bunches ofsmall fruits that resemble wild grapes. The fruit is tough and has a hearty but bitter flavor. Assassin vine berries make a heady wine.",Advantage to stealth checks,"Successful hit entagles, crushing each turn. STR save to escape",Blindsight 30ft,"basic-fantasy, plant"
Auroch,Soldier,2,,3d10,90,,DEX,DEX,"Wild herd animal, often skittish and likely to flee if provoked, but males are more aggressive in the presence of females.",,,,"basic-fantasy, beast"
"Baboon, Higher",Brute,2,,2d6,30,,STR,STR,,,,,beast
"Baboon, Rock",Brute,2,,2d6,30,,STR,STR,"Rock baboons are larger versions of normal baboons, and are more intelligent. They will eat anything, but prefer meat. They do not make tools or weapons but will pick up bones or branches to use as clubs. Rock baboons form packs, each led by a dominant male. They are ferocious and have vicious tempers. They do not speak a true language, but use simple screams to communicate warnings and needs.",,,,"basic-fantasy, beast"
Bandit,Sniper,1,,d8,30,,DEX,DEX,Bandits are NPC thieves who have joined together for the purpose of robbing others. Bandits will act as normal humans in order to surprise their intended victims.,,,,"basic-set, humanoid"
Basilisk,Predator,6,,d6,30,,DEX,DEX,"A basilisk is an eight-legged reptilian monster that petrifies living creatures with a mere gaze.  A basilisk usually has a dull brown body with a yellowish underbelly.   Some specimens sport a short, curved horn atop the nose.  An adult basilisk’s body grows to about 6 feet long, not including its tail, which can reach an additional length of 5 to 7 feet.  The creature weighs about 300 pounds.",WIS save or be petrified by its gaze,,,"basic-fantasy, monstrosity"
Bat,Shaper,0.25,,d100,30,120,DEX,DEX,"Bats are nocturnal (sleeping during the day, moving about at night) flying mammals. They often live in caves or abandoned buildings. They don't use their eyes to see but find their way about by echolocation (a type of radar using hearing and echos to locate objects)","Since they don't use their eyes, spells or abilities which depend on sight to affect their victims will not work on bats.
A silence 15' radius spell will effectively blind a bat.","Bats will not attack men but may confuse them by flying around their heads. There must be at least ten bats to confuse one character.
Confused characters have disadvantage on all checks",Flying 120ft,"basic-set, beast"
"Bat, Giant",Predator,2,,d10,20,120,DEX,DEX,A giant bat has a wingspan of 15ft. And weights about 200lbs.  Many are carnivorous.,"Since they don't use their eyes, spells or abilities which depend on sight to affect their victims will not work on bats.
A silence 15' radius spell will effectively blind a bat.",Flying 120ft,,"basic-fantasy, beast"
"Bear, Black",Brute,5,,d4,30,,STR,STR,"The black bear is a forest-dwelling omnivore that usually is not dangerous unless an interloper threatens its cubs or food supply.
Black bears may actually be pure black, blond, or cinnamon in color. They are rarely more than 5 feet long.",2 claws or hug and bite,,,"basic-fantasy, beast"
"Bear, Cave",Brute,4,,d4,30,,STR,STR,"These monstrous bears are even larger than grizzly bears. They are ferocious killers, attacking almost anything of equal or smaller size.",2 claws or hug and bite,,,"basic-fantasy, beast"
"Bear, Grizzly (or Brown)",Brute,5,,d4,30,,STR,STR,"These massive carnivores weigh more than 1,800 pounds and stand nearly 9 feet tall when they rear up on their hindlegs. They are bad-tempered and territorial.",2 claws or hug and bite,,,"basic-fantasy, beast"
"Bear, Polar",Brute,6,,d2,30,,STR,STR,"These long, lean carnivores are slightly taller than grizzly bears, and just as hostile.",2 claws or hug and bite,,,"basic-fantasy, beast"
"Bee, Giant",Soldier,0.5,,d6,10,60,DEX,DEX,"Although many times larger, growing to a length of about a foot, giant bees behave generally the same as their smaller cousins. 
Giant bees are usually not aggressive except when defending themselves or their hive.
A giant bee that successfully stings another creature pulls away, leaving its stinger in the creature.  The bee then dies.",Flying 60ft.,On a hit: CON save or die; the bee then dies,,"basic-fantasy, beast"
"Beetle, Bearer",Brute,2,,d6,30,,STR,STR,"These large (5‘ long) black beetles are used by the kobolds as beasts of burden. Often encountered laden with goods tied to a network of leather straps and saddle bags, bearer beetles can carry 200 lbs without penalty and up to 400 lbs. at ½ speed.
When threatened or commanded by their handlers, bearer beetles attack with their serrated mandibles. ",,,,"stonehell, beast"
"Beetle, Fire",Predator,1,2,d8,30,30,STR,STR,"Giant fire beetles are about 2 feet long.
They are normally timid but will fight if cornered.",,,,"basic-fantasy, beast"
"Beetle, Oil",Soldier,2,,d8,30,30,STR,STR,Oil beetles are 3ft. long giant beetles that sometimes burrow underground.,"When attacked, they will squirt an oily fluid at one of their attackers (a ""to hit"" roll is needed; the range is 5').
If the oil hits it will raise painful blisters, Disadv. All Checks until a cure spell is used or until 24 hours have passed.",,,"basic-set, beast"
"Beetle, Spitting (Bombardier)",Brute,2,,d8,30,,STR,STR,Giant bombardier beetles have red head and thorax sections and black abdomens.  They are 4ft. Long.,Bites opponents,Hot noxious gas spray every 3 rounds 10ft. Cone,,"basic-fantasy, beast"
"Beetle, Tiger",Predator,3,1,2d4,60,,STR,STR,"Giant tiger beetles are predatory monsters around 5 feet long.  Their carapaces tend to be dark brown with lighter brown striped or spotted patterns, but there are many variations.
They are fast runners, depending on their speed to rundown prey, and they willingly prey on any creature of mansize or smaller.
Like most beetles, they have more or less the same visual acuity in all directions.",,,,"basic-fantasy, beast"
Beserker,Brute,1,1,d6,30,,STR,STR,"Berserkers are simply fighters who go mad in battle.
Their reactions are determined normally, but once a battle starts they will always fight to the death — sometimes attacking their comrades in their blind rage.","They never retreat, surrender, or take prisoners.",,,"stonehell, humanoid"
